ID,Startzeit,Fertigstellungszeit,nickname,Rate this statement: I changed my hobby behavior during this experiment.,comf_taking_time,Rate this statement: I often used my hobby as a way to postpone other things I needed to do.,"Rate this statement: After doing my hobby, I generally felt positive.",Rate this statement: Seeing others pursue their hobbies affected how I spent time on mine.,Rate this statement: Seeing other pursue their hobbies affected how I felt about spending time on mine.,How did seeing other pursue their hobbies make you feel about spending spending time on yours?,"How would you rate the believability of the social information shown in the ""Social Mode"" of the ""Hobby Tracker""?","How would you rate the usability of the ""Hobby Tracker""?",How would you rate your overall experience in this experiment?,Please leave us some feedback here or add anything you feel like was missing:,Would you like to get the study results report when it's ready in January 2026?
1,12.6.25 16:17:37,12.6.25 16:29:26,eager-dolphin,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Indifferent („It did not really affect me“);,Poor,Average,Good,The social mode didn‘t have any affect on my behavior because I thought those were just dummy values. Additionally I believe me personally wouldn‘t think much of others time spent on hobbies because I know everybody got different schedules and I spend too much time on hobbies as procrastination anyway.,Yes
2,12.6.25 16:30:40,12.6.25 16:31:56,quick-rabbit,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Guilty („I felt I should be spending more time on my hobbies“);Motivated („It gave me energy or drive to start“);,Good,Good,Good,,Yes
3,12.6.25 16:30:11,12.6.25 16:32:39,lively-dolphin,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Connected („I felt part of a community/shared interest“);Indifferent („It did not really affect me“);,Good,Good,Good,,Yes
4,12.6.25 16:30:28,12.6.25 16:33:08,gentle-bear,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Comforted („It felt normal or acceptable to take time for this“);,Average,Good,Very good,I feel like it might've been good to make one's hobby session viewable in the hobby tracker after completion,Yes
5,12.6.25 16:37:09,12.6.25 16:43:58,kind-hawk,Agree,Strongly agree,Disagree,Agree,Neutral,Agree,Guilty („I felt I should be spending more time on my hobbies“);Connected („I felt part of a community/shared interest“);Empowered („It felt easier to prioritize my own hobby time“);,Good,Very Good,Very good,"Thanks to this experiment, I finally managed to carve out some time for my hobby during the day - not just work :)",Yes
6,12.6.25 16:30:57,12.6.25 16:50:00,curious-eagle,I did not notice any change.,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Connected („I felt part of a community/shared interest“);,Good,Poor,Poor,"For me the hobby tracker was just another thing to think about and i genuinely don't like the ""appification"" of everything. I think spending more time on the phone is time that i have less for my hobbies. Maybe a gadget like a bracelet or keychain would help to make it more usable. I am also fully employed and not a student anymore so i actually don't feel like the target group. Also you said that you are working on a solution to the scrollingproblem on the mobile website but it never happened gives the feeling that you guys don't care about the study. Why is the input field for the feedback so small? ",Yes
7,12.6.25 17:01:49,12.6.25 17:07:25,happy-fox,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Indifferent („It did not really affect me“);Connected („I felt part of a community/shared interest“);,Poor,Poor,Good,,Yes
8,12.6.25 17:29:43,12.6.25 17:35:01,fierce-lion,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Connected („I felt part of a community/shared interest“);Motivated („It gave me energy or drive to start“);Empowered („It felt easier to prioritize my own hobby time“);Overwhelmed („It made me feel I had to do more“);,Good,Very Good,Very good,"Would love to have access to ""statistics"" - be able to see how much time I've spend on the app this month etc.",No
9,12.6.25 18:04:35,12.6.25 18:07:19,brave-bear,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Comforted („It felt normal or acceptable to take time for this“);,Average,Good,Good,,Yes
10,12.6.25 18:10:38,12.6.25 18:12:24,fierce-bear,I did not notice any change.,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Indifferent („It did not really affect me“);,Very Good,Good,Very good,,Yes
