timestamp,nickname,event,message
2025-11-30T19:50:05.886569455Z[Etc/UTC], proud-rabbit, ACCESS, resource: /api/userId/state
2025-11-30T19:50:05.888761275Z[Etc/UTC], unknown, INVALID_TIME, access starts: 2025-12-01T03:00:00Z
2025-12-01T07:37:34.587372849Z[Etc/UTC], brave-bear, ACCESS, resource: /api/userId/state
2025-12-01T07:39:49.898885073Z[Etc/UTC], proud-koala, ACCESS, resource: /api/userId/state
2025-12-01T07:48:47.554135093Z[Etc/UTC], lively-wolf, ACCESS, resource: /api/userId/state
2025-12-01T07:48:51.914867492Z[Etc/UTC], lively-wolf, ACCESS, resource: /api/userId/state
2025-12-01T07:52:00.203533390Z[Etc/UTC], lively-wolf, ACCESS, resource: /api/userId/start_tracking
2025-12-01T07:52:00.204119476Z[Etc/UTC], lively-wolf, START_TRACKING, previously tracking: false
2025-12-01T07:52:03.725050910Z[Etc/UTC], lively-wolf, ACCESS, resource: /api/userId/stop_tracking
2025-12-01T07:52:03.725604155Z[Etc/UTC], lively-wolf, STOP_TRACKING, previously tracking: true
2025-12-01T08:45:00.700286210Z[Etc/UTC], fierce-koala, ACCESS, resource: /api/userId/state
2025-12-01T08:45:09.363755252Z[Etc/UTC], fierce-koala, ACCESS, resource: /api/userId/start_tracking
2025-12-01T08:45:09.364411258Z[Etc/UTC], fierce-koala, START_TRACKING, previously tracking: false
2025-12-01T08:57:38.513111649Z[Etc/UTC], gentle-bear, ACCESS, resource: /api/userId/state
2025-12-01T08:58:48.019463768Z[Etc/UTC], fierce-koala, ACCESS, resource: /api/userId/stop_tracking
2025-12-01T08:58:48.020009453Z[Etc/UTC], fierce-koala, STOP_TRACKING, previously tracking: true
2025-12-01T09:02:20.659530717Z[Etc/UTC], unknown, ACCESS, resource: /
2025-12-01T09:13:18.857591352Z[Etc/UTC], kind-hawk, ACCESS, resource: /api/userId/state
2025-12-01T09:13:24.807279321Z[Etc/UTC], kind-hawk, ACCESS, resource: /api/userId/start_tracking
2025-12-01T09:13:24.807894007Z[Etc/UTC], kind-hawk, START_TRACKING, previously tracking: false
2025-12-01T09:17:27.636288752Z[Etc/UTC], kind-hawk, ACCESS, resource: /api/userId/stop_tracking
2025-12-01T09:17:27.636903998Z[Etc/UTC], kind-hawk, STOP_TRACKING, previously tracking: true
2025-12-01T09:17:30.681536609Z[Etc/UTC], kind-hawk, ACCESS, resource: /api/userId/state
2025-12-01T09:33:15.590248194Z[Etc/UTC], brave-bear, ACCESS, resource: /api/userId/state
2025-12-01T09:36:25.307008216Z[Etc/UTC], unknown, ACCESS, resource: /
2025-12-01T09:49:27.621166560Z[Etc/UTC], proud-koala, ACCESS, resource: /api/userId/state
2025-12-01T09:49:29.757782839Z[Etc/UTC], proud-koala, ACCESS, resource: /api/userId/state
2025-12-01T10:29:20.202317454Z[Etc/UTC], brave-bear, ACCESS, resource: /api/userId/state
2025-12-01T10:29:21.497890646Z[Etc/UTC], brave-bear, ACCESS, resource: /api/userId/start_tracking
2025-12-01T10:29:21.498605053Z[Etc/UTC], brave-bear, START_TRACKING, previously tracking: false
2025-12-01T10:37:51.463595230Z[Etc/UTC], fierce-koala, ACCESS, resource: /api/userId/state
2025-12-01T10:38:18.942887409Z[Etc/UTC], fierce-koala, ACCESS, resource: /api/userId/start_tracking
2025-12-01T10:38:18.943502215Z[Etc/UTC], fierce-koala, START_TRACKING, previously tracking: false
2025-12-01T10:50:51.132567009Z[Etc/UTC], happy-fox, ACCESS, resource: /api/userId/state
